station,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
高松,0,0,0,0,0,0,0,0,0,0,0
舞子,0,0,0,0,2.54E-05,0,2.51E-05,0,0,0,0
代田橋,0,9.88E-05,0,4.81E-05,4.97E-05,0.00010013,5.01E-05,0.000149083,0,0,0
山手,0,5.84E-05,2.90E-05,0,0,0,0,0,0,0,0
伊予和気,0,0,0.00117096,0.001108647,0.001199041,0.001201923,0.001265823,0,0,0,0
七軒茶屋,0,0,0,0,0,0,0.000597372,0,0,0,0
江古田,0,0,0,0,0,0,0,2.89E-05,0,0,0
京急川崎,0,8.80E-06,2.62E-05,1.69E-05,8.47E-06,1.63E-05,7.92E-06,0,0,0,0
南林間,0,3.10E-05,0,0,0,0,0,0,0,0,0
京急鶴見,0,0,0,3.33E-05,0,0,3.17E-05,9.17E-05,0,0,0
瀬谷,0,0,0,0,0,0,2.25E-05,0,0,0,0
岡町,0,0,0,0,0,0,0.000124696,0,0,0,0
国分寺,0,9.44E-06,1.43E-05,4.69E-06,0,9.26E-06,0,4.48E-06,0,0,0
上板橋,0,4.11E-05,6.10E-05,2.01E-05,2.03E-05,0,0,3.87E-05,0,0,0
陣原,0,0,0,0,0,0,0,0,0,0,0
土橋,0,0,0,0,0,0,0,0,0,0,0
東松阪,0,0.000467508,0.000441891,0,0,0,0,0,0,0,0
南草津,0,0,1.94E-05,0,1.79E-05,0,0,0,0,0,0
熊谷,0,0,0,0,0,0,0,0,0,0,0
飛騨小坂,0,0,0,0,0,0,0,0,0,0,0
矢切,0,0,0.000150399,0,0,0,0.000128667,0,0,0,0
浜吉田,0,0,0,0,0,0,0,0,0,0,0
竹村,0,0,0,0,0,0,0,0,0,0,0
清澄白河,0,0,0,0,0,0,0,0,0,0,0
玉川学園前,0,6.18E-05,2.04E-05,0,2.09E-05,2.07E-05,0,2.07E-05,0,0,0
京成船橋,0,0,0,0,0,0,0,0,0,0,0
小宮,0,0,0,0,0,0,0,0,0,0,0
嘉川,0,0,0.0025,0.002538071,0.002512563,0.002415459,0.002463054,0,0,0,0
向ヶ丘遊園,0,0,0,1.53E-05,1.55E-05,1.52E-05,0,0,0,0,0
熊本,0,0,0,0,0,0,0,0,0,0,0
布忍,0,0.000192419,0,0.00019996,0,0,0,0,0,0,0
小山,0,0,0,0,0,0,0,0,0,0,0
雑餉隈,0,0,0,0,0,0,6.79E-05,0,0,0,0
千丁,0,0,0,0,0,0,0,0,0,0,0
羽倉崎,0,0,0,0,0,0.000166058,0,0,0,0,0
柳田,0,0,0,0,0,0,0,0,0,0,0
熊川,0,0,0,0,0,0,0,0,0,0,0
ひばりヶ丘,0,0,1.48E-05,1.45E-05,1.47E-05,0,1.42E-05,4.13E-05,0,0,0
箱崎,0,0,0,0,0,0,0,0,0,0,0
八戸ノ里,0,4.20E-05,0,0,0,3.89E-05,0,0,0,0,0
扶桑,0,0,0,0,0,0,0,0,0,0,0
陸前落合,0,0,0.000137287,0,0,0,0,0.000128999,0,0,0
安房天津,0,0,0.007142857,0,0,0,0,0,0,0,0
鶴間,0,0.000111636,0,3.49E-05,0,6.78E-05,3.34E-05,6.57E-05,0,0,0
新子安,0,2.37E-05,0,0,2.28E-05,2.32E-05,2.22E-05,0,0,0,0
愛別,0,0,0,0,0,0,0,0,0,0,0
朽網,0,0,0,0,0,0,0,0,0,0,0
名鉄名古屋,0,0,0,0,0,0,0,0,0,0,0
三咲,0,8.07E-05,0,0,0,0,0,0,0,0,0
柚須,0,0,0,0,0,0,0,0,0,0,0
芦屋川,0,0,0.000115075,0,5.64E-05,0,6.42E-05,0.000128808,0,0,0
八十場,0,0,0,0,0,0,0,0,0,0,0
草津南,0,0,0,0,0,0,0,0,0,0,0
益生,0,0.00041632,0.000411523,0.000411523,0,0,0,0,0,0,0
松ノ浜,0,0,0,0,0,0,0,0,0,0,0
越谷,0,0,0,0,0,0,0,0,0,0,0
小机,0,0,0,0,0,0,0,0,0,0,0
南栗橋,0,0.000120642,0,0,0.00023076,0,0,0,0,0,0
西高屋,0,0,9.00E-05,0,0,0,0,0,0,0,0
大森,0,0.12,0.071428571,0.205882353,0.054545455,0.08,0.044444444,0,0,0,0
鵠沼海岸,0,0,0,5.09E-05,0,0,5.00E-05,0,0,0,0
中浜,0,0,0,0,0,0,0,0,0,0,0
石川町,0,0,0,0,0,0,0,0,0,0,0
中山寺,0,0,0,0.000112189,0,0,0,0,0,0,0
富田,0,0.000564334,0.001215067,0,0.001131222,0,0.000527983,0,0,0,0
開明,0,0,0,0,0,0,0,0,0,0,0
西京極,0,0,5.81E-05,0,5.68E-05,5.59E-05,0,0,0,0,0
東加古川,0,0,3.64E-05,3.60E-05,0.000108798,6.97E-05,0.000105456,3.54E-05,0,0,0
丹後神崎,0,0,0,0,0,0,0,0,0,0,0
芦原温泉,0,0,0,0,0,0,0,0,0,0,0
六郷土手,0,0,0.000141493,0,0,0,0,6.32E-05,0,0,0
茅場町,0,8.48E-06,0,0,0,0,7.84E-06,7.70E-06,0,0,0
香西,0,0.001133787,0.002188184,0,0,0,0,0,0,0,0
東岡山,0,0,0,0,0,0,0,0,0,0,0
西焼津,0,0,0,0,0,0,0,0,0,0,0
春木,0,6.88E-05,0,0,0,0.000202252,6.76E-05,0,0,0,0
守山,0,0,0,0,0.001123596,0.002202643,0.001062699,0.00101833,0,0,0
信濃追分,0,0,0,0,0,0,0,0,0,0,0
肥前山口,0,0,0,0,0,0,0,0,0,0,0
来迎寺,0,0,0,0.000967118,0,0,0,0,0,0,0
徳島,0,0,0,0,0,0,0,0,0,0,0
代々木,0,0,0,1.42E-05,0,7.22E-06,0,0,0,0,0
三鷹,0,1.11E-05,0,1.11E-05,5.39E-06,5.39E-06,1.05E-05,0,0,0,0
弘明寺,0,0,0,0,3.40E-05,6.68E-05,6.61E-05,3.29E-05,0,0,0
登戸,0,0,0,0,0,0,0,0,0,0,0
千林,0,0,0,0,0,0,0,0,0,0,0
宮城野原,0,0,0,9.53E-05,0,0,0,0,0,0,0
赤羽,0,1.15E-05,5.72E-06,5.67E-06,2.23E-05,1.12E-05,0,5.35E-06,0,0,0
武蔵砂川,0,0,0,0,0,0,0,0,0,0,0
紀ノ川,0,0,0,0,0,0,0.000342936,0,0,0,0
京王稲田堤,0,0,0,0,0,0,0,0,0,0,0
七里ヶ浜,0,0,0,0,0,0,0,0,0,0,0
矢作橋,0,0,0,0,0,0,0,0,0,0,0
池袋,0,4.30E-06,8.47E-06,2.10E-06,6.35E-06,6.28E-06,4.17E-06,1.04E-05,0,0,0
三田,0,0,0,0,0,0,0,0,0,0,0
阿漕,0,0,0,0,0,0,0,0,0,0,0
天満橋,0,0,0,0,0,0,0,0,0,0,0
武蔵浦和,0,0,0,1.06E-05,0,0,0,0,0,0,0
京成幕張,0,0,0,0,0,0,0,0,0,0,0
勝田,0,0,0,0,0,0,0.000841751,0,0,0,0
豊春,0,0.000145222,0,0,0,0,0,0,0,0,0
高浜港,0,0,0,0,0,0,0,0,0,0,0
岸里,0,0,0,0,0,6.36E-05,0,6.18E-05,0,0,0
近鉄名古屋,0,0,0,0,0,0,0,0,0,0,0
呼続,0,0,0,0,0,0,0,0,0,0,0
宮前,0,0,0,0.000364033,0,0,0,0,0,0,0
糀谷,0,0,0,0,4.25E-05,0,0,0,0,0,0
動橋,0,0,0,0,0,0,0,0,0,0,0
西舞子,0,0,0,0,0,0.000568505,0,0.000536481,0,0,0
竪堀,0,0,0,0,0,0,0,0,0,0,0
川西,0,0,0,0,0,0,0,0,0,0,0
鶯谷,0,0,8.43E-05,0,0,2.05E-05,4.09E-05,2.03E-05,0,0,0
福川,0,0.000573723,0,0,0,0.000639386,0,0,0,0,0
篠原,0,0,0.007633588,0,0.007633588,0,0,0,0,0,0
宇都宮,0,0,0,0,0,0,0,0,0,0,0
神崎川,0,0,0,0,0,0,5.75E-05,0,0,0,0
川崎,0,8.09E-06,5.39E-06,1.33E-05,1.27E-05,9.80E-06,1.44E-05,7.16E-06,0,0,0
阿久比,0,0,0,0,0,0,0,0,0,0,0
東村山,0,0,0,0,0,0,0,0,0,0,0
安武,0,0.000930233,0,0,0,0,0,0,0,0,0
戸田,0,5.95E-05,0,5.76E-05,2.78E-05,0,2.66E-05,7.74E-05,0,0,0
牧,0,0,0,0,0,0,0,0.076923077,0,0,0
小手指,0,0,0,2.07E-05,2.08E-05,4.11E-05,0,2.03E-05,0,0,0
畠田,0,0,0.000251762,0,0,0,0,0,0,0,0
二島,0,0,0,0,0,0,0,0,0,0,0
八幡山,0,0,0,0,0,2.37E-05,0,0,0,0,0
日暮里,0,2.69E-05,2.61E-05,7.35E-05,0.000117069,2.20E-05,0,3.88E-05,0,0,0
かるが浜,0,0,0,0,0,0,0,0,0,0,0
青砥,0,0,0,0,2.15E-05,0,0,1.99E-05,0,0,0
真菅,0,0,0,0,0,0,0,0,0,0,0
北助松,0,8.23E-05,0,0,0,0,0,7.94E-05,0,0,0
城野,0,0.000533049,0.001594049,0.001015744,0,0,0,0.000447828,0,0,0
津福,0,0,0,0,0,0,0,0,0,0,0
板橋,0,0,3.31E-05,0,1.57E-05,1.56E-05,0,0,0,0,0
蘇我,0,4.88E-05,0,3.20E-05,1.57E-05,0,0,1.51E-05,0,0,0
交野市,0,0,0,0,0,0,0,0,0,0,0
かしわ台,0,0,0,0,0,0,0,0,0,0,0
四条畷,0,0,0,0,0,0,0,2.66E-05,0,0,0
石岡,0,8.76E-05,0,8.71E-05,0,0,0,0,0,0,0
積志,0,0,0,0,0,0,0,0,0,0,0
安芸矢口,0,0,0,0,0,0,0.000243546,0,0,0,0
品川,0,0,0,0,0,0,0,0,0,0,0
三潴,0,0,0,0,0.001199041,0.001190476,0.001156069,0.001156069,0,0,0
石神井公園,0,1.45E-05,0,0,0,1.29E-05,1.27E-05,0,0,0,0
羽前中山,0,0,0,0,0,0,0,0,0,0,0
新得,0,0,0,0,0,0,0,0,0,0,0
八丁畷,0,0,0,0,0,0.000374813,0.000709723,0.000322789,0,0,0
駒形,0,0,0,0,0,0,0,0,0,0,0
倉敷,0,0,0,0,0,0,0,0,0,0,0
灘,0,6.73E-05,0,0,2.10E-05,0,0,2.26E-05,0,0,0
馬込沢,0,7.69E-05,0,3.75E-05,3.81E-05,0.000113357,3.77E-05,0,0,0,0
東岸和田,0,4.71E-05,4.67E-05,0,0,9.13E-05,0,0,0,0,0
神田,0,0,0,0,0,0,0,0,0,0,0
姪浜,0,0,0,0,0,0,0,0,0,0,0
須波,0,0.003952569,0,0,0,0,0,0,0,0,0
保土ヶ谷,0,0,0,1.54E-05,3.05E-05,0,1.52E-05,1.49E-05,0,0,0
井倉,0,0,0,0,0,0,0,0,0,0,0
宮口,0,0,0,0,0,0,0,0,0,0,0
津田山,0,0,0,0,0,0,0,0.000132591,0,0,0
長池,0,0.000461894,0,0,0,0,0,0,0,0,0
郡中,0,0,0,0,0,0,0,0,0,0,0
錦糸町,0,0,5.04E-06,2.47E-05,4.83E-06,9.66E-06,9.51E-06,4.71E-06,0,0,0
本町,0,0,0,0,0,0,0,0,0,0,0
椎名町,0,0,0.000166417,5.36E-05,0,0.000154863,5.11E-05,5.00E-05,0,0,0
植大,0,0,0,0,0,0,0,0,0,0,0
旭前,0,0,0,0,0,0,0,0,0,0,0
藤枝,0,0,0,0,0,0,0,0,0,0,0
高座渋谷,0,0,4.33E-05,0,0,0,0,0,0,0,0
西宮,0,2.55E-05,0,0,0,0,2.40E-05,2.38E-05,0,0,0
屏風浦,0,0,0,5.74E-05,0,5.63E-05,5.65E-05,0.00011147,0,0,0
鎌取,0,0,0,2.59E-05,0,0,2.48E-05,0,0,0,0
日向住吉,0,0,0,0,0,0,0,0,0,0,0
松任,0,0.000333389,0,0,0.00016292,0,0,0,0,0,0
妻鹿,0,0,0,0,0,0,0.0004649,0,0,0,0
国府台,0,8.57E-05,0,8.50E-05,8.62E-05,0,0,0,0,0,0
東梅田,0,0,0,0,0,0,0,0,0,0,0
烏森,0,0,0,0,0,0,0,0,0,0,0
宮津,0,0,0,0,0,0,0,0,0,0,0
讃岐白鳥,0,0,0,0,0,0,0,0,0,0,0
那加,0,0,0,0,0,0,0,0,0,0,0
平成,0,0,0,0,0,0,0,0,0,0,0
内海,0,0,0,0,0,0,0,0,0,0,0
東松江,0,0,0,0,0,0,0,0,0,0,0
長岡京,0,0,5.01E-05,4.87E-05,0,4.85E-05,0,0,0,0,0
中萱,0,0,0,0,0,0,0,0,0,0,0
鬼無,0,0.001490313,0.000763359,0,0,0,0.000736377,0,0,0,0
尺土,0,0,0,0.00023015,0,0,0,0,0,0,0
加賀笠間,0,0,0.000333778,0,0,0,0,0,0,0,0
古淵,0,2.34E-05,0,4.61E-05,0,2.26E-05,0,4.39E-05,0,0,0
若葉,0,0,0,7.91E-05,2.67E-05,0,0,2.61E-05,0,0,0
加美,0,0,5.45E-05,0,0,0,0,0,0,0,0
水道橋,0,0,0,0,0,1.80E-05,0,0,0,0,0
御茶ノ水,0,9.84E-06,9.95E-06,0,4.77E-06,0,0,0,0,0,0
顔戸,0,0,0,0,0,0,0,0,0,0,0
上野,0,0,0,0,0,0,0,0,0,0,0
妙蓮寺,0,8.26E-05,0,3.99E-05,4.08E-05,3.99E-05,3.99E-05,0,0,0,0
立川,0,0,0,0,0,0,0,0,0,0,0
茨木,0,0,3.38E-05,1.11E-05,0,2.08E-05,0,1.02E-05,0,0,0
知多半田,0,0,0,0,0,0,0,0,0,0,0
二俣川,0,0,0,0,0,0,0,0,0,0,0
秩父,0,0,0,0,0,0,0,0,0,0,0
荒木,0,0,0,0,0,0,0,0,0,0,0
松戸,0,2.01E-05,1.02E-05,1.02E-05,1.01E-05,1.02E-05,5.00E-06,1.50E-05,0,0,0
三郷,0,0,0,0,0,0,0,0,0,0,0
高田本山,0,0,0,0,0,0,0,0,0,0,0
香里園,0,0,0,0,0,0,0,5.88E-05,0,0,0
西高岡,0,0,0,0,0,0,0,0,0,0,0
本郷台,0,7.83E-05,0,0,2.59E-05,2.68E-05,5.30E-05,0,0,0,0
阿波福井,0,0,0,0,0,0,0,0,0,0,0
元加治,0,0,0.000144092,0.00014339,0,0,0.000145138,0.000142613,0,0,0
大山崎,0,0,0,0,0,0.000314812,0,0,0,0,0
新八代,0,0,0,0,0,0,0,0,0,0,0
花巻,0,0,0,0,0,0,0,0,0,0,0
安岡,0,0.000582411,0,0.000627746,0.000672043,0,0,0,0,0,0
相武台前,0,5.27E-05,2.62E-05,2.57E-05,5.20E-05,2.57E-05,0,0,0,0,0
志紀,0,0,0,0,0,0,0,4.67E-05,0,0,0
道上,0,0,0,0,0,0,0,0.000759301,0,0,0
枚方市,0,0,0,0,0,0,0,0,0,0,0
清瀬,0,5.88E-05,4.36E-05,2.87E-05,0,2.91E-05,4.32E-05,1.42E-05,0,0,0
西永福,0,0,5.52E-05,5.53E-05,0,0,0,0,0,0,0
細谷,0,0,0.000858001,0,0,0,0,0,0,0,0
保谷,0,3.63E-05,0,1.72E-05,0,3.33E-05,1.65E-05,4.83E-05,0,0,0
糸崎,0,0,0,0,0,0,0,0,0,0,0
我孫子,0,0,0,0,0,0,0,0,0,0,0
吉見ノ里,0,0.000683761,0,0,0,0.000273299,0.000268745,0,0,0,0
船橋,0,0,1.80E-05,3.52E-05,3.57E-05,8.82E-06,8.74E-06,8.65E-06,0,0,0
北越谷,0,3.88E-05,1.91E-05,1.88E-05,7.58E-05,1.85E-05,5.56E-05,5.57E-05,0,0,0
西鹿島,0,0,0,0,0,0,0,0,0,0,0
磐城塙,0,0,0,0,0,0.002439024,0,0,0,0,0
肥前麓,0,0,0,0,0,0,0,0,0,0,0
みずほ台,0,2.51E-05,2.47E-05,4.85E-05,7.31E-05,0,2.44E-05,2.43E-05,0,0,0
富士,0,0,0,0,0,0,0,0,0,0,0
昭島,0,1.93E-05,0,1.92E-05,3.79E-05,0,0,0,0,0,0
布袋,0,0,0,0,0,0,0,0,0,0,0
新札幌,0,0,0,0,0,0,0,0,0,0,0
南流山,0,0,0,0,1.64E-05,0,0,1.50E-05,0,0,0
せんげん台,0,0,3.29E-05,0,3.33E-05,1.66E-05,1.67E-05,1.68E-05,0,0,0
魚住,0,0,0,4.46E-05,0,0,0,8.72E-05,0,0,0
柳瀬川,0,0.000140825,9.36E-05,0,0,0,9.66E-05,0,0,0,0
江戸橋,0,0,0,0,0.000124162,0,0,0,0,0,0
八千代台,0,2.12E-05,0,0,0,2.16E-05,2.15E-05,0,0,0,0
金山,0,0,0,0,0,0,0,0,0,0,0
小川,0,7.07E-05,3.50E-05,6.87E-05,0.000105533,0.000139489,0.000103423,6.75E-05,0,0,0
近江今津,0,0,0,0,0,0,0,0,0,0,0
桑折,0,0,0,0,0,0,0,0,0,0,0
洋光台,0,0,7.18E-05,0,4.71E-05,0,0,2.43E-05,0,0,0
香櫨園,0,0,0,0,0.000103327,9.23E-05,8.65E-05,0,0,0,0
大橋,0,0,0,0,0,0,0,0,0,0,0
京急新子安,0,0,0.000125565,0.000360404,0.000120135,0.00035838,0,0.000117412,0,0,0
久米田,0,0,0.000142389,7.05E-05,0,0,7.32E-05,7.33E-05,0,0,0
江南,0,0,0,0,0,0,0,0,0,0,0
平端,0,0,0,0,0,0,0,0,0,0,0
吉野ヶ里公園,0,0,0,0,0,0,0,0,0,0,0
間々田,0,0,0.000245399,0,0.000454959,0,0,0.000461574,0,0,0
笹木野,0,0,0,0,0,0,0,0,0,0,0
上大岡,0,7.13E-06,0,0,0,0,0,0,0,0,0
磯子,0,0,2.74E-05,2.74E-05,0,0,0,0,0,0,0
東府中,0,0,0,0,0,0,0,0,0,0,0
扇田,0,0,0,0,0,0,0,0,0,0,0
両国,0,0,0,0,0,0,0,0,0,0,0
安部山公園,0,0,0,0,0,0,0,0,0,0,0
西船橋,0,0,0,0,0,0,0,0,0,0,0
南彦根,0,0,0,0,0,0,0,0,0,0,0
岩瀬,0,0,0,0,0,0,0,0,0,0,0
井荻,0,0,5.14E-05,0,0,5.02E-05,0,4.96E-05,0,0,0
塚口,0,0,0.000222432,5.58E-05,5.65E-05,0,5.01E-05,4.52E-05,0,0,0
ときわ台,0,0,0,0,0.000807754,0.000411862,0,0,0,0,0
放出,0,0,3.17E-05,0,0,0,0,0,0,0,0
富吉,0,0,0,0,0.000181028,0.000185391,0,0,0,0,0
原水,0,0,0,0,0,0,0,0,0,0,0
大島,0,0,0,0,0,0,3.11E-05,0,0,0,0
大正,0,0,0,0,0.012820513,0,0,0,0,0,0
森本,0,0,0,0,0.000304414,0.000304414,0.000303122,0,0,0,0
新瀬戸,0,0,0,0,0,0,0,0,0,0,0
西笠松,0,0,0,0,0,0,0,0,0,0,0
土居田,0,0,0,0,0,0,0,0,0,0,0
西鉄柳川,0,0,0,0,0,0,0,0,0,0,0
中根,0,0,0,0,0,0,0,0,0,0,0
大宮,0,2.30E-05,3.02E-05,3.73E-05,0,7.48E-06,1.48E-05,1.46E-05,0,0,0
島ノ関,0,0,0,0,0,0,0,0,0,0,0
神代,0,0,0,0,0,0,0,0,0,0,0
尼崎,0,0,0,0,0,0,0,0,0,0,0
堺筋本町,0,0,0,0,0,0,0,0,0,0,0
熱田,0,0,0,0,0,0,0,0,0,0,0
小泉町,0,0,0,0,0,0,0,0,0,0,0
伊勢原,0,4.05E-05,1.98E-05,1.93E-05,5.88E-05,5.80E-05,1.93E-05,0,0,0,0
愛甲石田,0,0,0,0,0,1.95E-05,1.92E-05,0,0,0,0
吉祥寺,0,7.22E-06,7.27E-06,7.22E-06,7.18E-06,0,0,3.53E-06,0,0,0
下赤塚,0,5.66E-05,5.74E-05,0.000115427,5.94E-05,5.93E-05,0.000121315,0.000120839,0,0,0
穂積,0,0,0,0,0,0,0,0,0,0,0
一橋学園,0,0,4.96E-05,0,0,0,0,0,0,0,0
北小松,0,0,0,0,0,0,0,0,0,0,0
刈谷,0,0,0,0,0,0,0,0,0,0,0
園田,0,0,8.76E-05,2.91E-05,2.93E-05,0,3.28E-05,6.51E-05,0,0,0
本厚木,0,7.13E-06,0,2.04E-05,6.76E-06,1.31E-05,0,6.53E-06,0,0,0
新白岡,0,0.000160849,0,0,0,0,0,0,0,0,0
本巣,0,0,0,0,0,0,0,0,0,0,0
市川,0,2.54E-05,2.57E-05,1.71E-05,1.69E-05,1.71E-05,8.35E-06,8.26E-06,0,0,0
犬山遊園,0,0,0,0,0,0,0,0,0,0,0
土浦,0,0,0,0,0,0,3.08E-05,0,0,0,0
阿久根,0,0,0.001404494,0,0,0,0,0,0,0,0
旗の台,0,0,2.72E-05,0,0,0,0,0,0,0,0
日進,0,0,0,0,0,0,0,0,0,0,0
川西池田,0,0,0,0,0,2.53E-05,0,0,0,0,0
島田,0,0,0,0,0,0,0,0,0,0,0
宮原,0,0,2.17E-05,0,0,0,0,0,0,0,0
あわら湯のまち,0,0,0,0,0,0,0,0,0,0,0
津山,0,0.000244858,0,0,0,0,0,0,0,0,0
高横須賀,0,0,0,0,0,0,0,0,0,0,0
東岩槻,0,0,0,0,0,0,0,0,0,0,0
上尾,0,1.23E-05,1.24E-05,1.22E-05,3.58E-05,1.21E-05,2.39E-05,1.20E-05,0,0,0
安芸中野,0,0,0,0,0,0,0,0.000166196,0,0,0
入曽,0,0.000158353,5.36E-05,0,0.000109129,0,0.000109421,0,0,0,0
浦山口,0,0.005,0,0,0,0,0,0,0,0,0
武州荒木,0,0,0,0,0,0.002754821,0,0.002702703,0,0,0
熱海,0,5.39E-05,0,0,0,5.22E-05,0,0,0,0,0
小田渕,0,0,0,0,0,0,0,0,0,0,0
